A10	A12	A9	A13	A5	A1	A4	A7	A6	A11	A8	A14	A3	A15	A2	class
f	f	f	g	g	b	u	v	w	0.0	1.165	120.0	1.25	0.0	33.67	-
f	f	f	g	p	a	y	v	x	0.0	1.0	280.0	1.085	13.0	29.5	-
f	f	f	g	p	b	y	v	c	0.0	0.04	170.0	1.085	179.0	30.17	-
f	f	f	s	g	?	u	bb	i	0.0	0.5	1160.0	3.5	0.0	40.83	-
f	f	f	s	p	b	y	v	w	0.0	3.0	200.0	2.5	0.0	34.83	-
f	t	f	g	p	a	y	v	c	0.0	2.5	0.0	2.5	2.0	33.25	-
f	f	f	g	g	b	u	v	c	0.0	1.0	460.0	2.5	16.0	34.08	-
f	t	f	g	g	a	u	v	d	0.0	1.0	180.0	12.5	1062.0	25.25	-
f	f	f	g	g	b	u	bb	cc	0.0	0.5	348.0	2.5	0.0	34.75	-
f	t	f	g	g	b	u	h	q	0.0	0.165	220.0	0.75	251.0	27.67	-
f	t	f	g	g	b	u	v	c	0.0	1.0	0.0	6.5	228.0	47.33	-
f	t	f	g	p	a	y	h	i	0.0	0.5	160.0	1.25	0.0	34.83	-
f	f	f	g	p	a	y	v	aa	0.0	2.0	180.0	3.0	0.0	33.25	-
f	t	f	g	g	b	u	v	w	0.0	0.75	300.0	3.0	67.0	28.0	-
f	f	f	g	g	a	u	v	c	0.0	3.0	480.0	4.0	0.0	39.08	-
f	f	f	g	g	b	u	v	aa	0.0	0.04	108.0	4.085	100.0	42.75	-
f	t	f	g	g	b	u	bb	i	0.0	0.5	640.0	2.25	4000.0	26.92	-
f	f	f	g	g	b	u	bb	i	0.0	0.0	180.0	2.75	0.0	33.75	-
f	t	f	g	g	b	u	v	k	0.0	0.5	300.0	1.75	2.0	38.92	-
f	f	f	g	g	b	u	z	e	0.0	0.0	0.0	7.0	12.0	62.75	-
f	t	f	g	g	?	u	v	c	0.0	0.25	372.0	1.5	122.0	32.25	-
f	f	f	g	p	b	y	bb	c	0.0	2.5	200.0	4.5	1210.0	26.75	-
t	t	t	g	g	b	u	v	c	3.0	0.585	180.0	0.54	0.0	63.33	-
t	t	f	g	g	b	u	v	w	1.0	2.25	100.0	1.5	3.0	27.83	-
f	t	f	g	g	a	u	j	j	0.0	0.0	276.0	2.0	1.0	26.17	-
f	f	f	g	p	b	y	ff	ff	0.0	0.0	100.0	0.585	0.0	22.17	-
f	t	f	g	p	b	y	v	m	0.0	1.5	0.0	11.5	4000.0	22.5	-
f	t	f	s	g	b	u	v	d	0.0	0.585	0.0	1.585	0.0	30.75	-
f	t	f	g	g	b	u	v	i	0.0	0.25	221.0	2.0	0.0	36.67	-
t	t	f	g	g	a	u	v	aa	2.0	1.0	320.0	0.165	1.0	16.0	-
f	f	f	g	g	b	u	v	d	0.0	0.165	168.0	1.335	0.0	41.17	-
f	t	f	g	g	a	u	v	q	0.0	0.04	380.0	0.165	0.0	19.5	-
f	t	f	g	g	b	u	v	d	0.0	0.165	120.0	3.0	0.0	32.42	-
f	f	f	g	g	a	u	ff	ff	0.0	0.0	160.0	4.71	0.0	36.75	-
f	t	f	s	g	a	u	v	k	0.0	5.5	100.0	5.5	0.0	30.25	-
f	t	f	g	g	b	u	ff	ff	0.0	0.085	100.0	2.5	4208.0	23.08	-
f	f	f	g	g	b	u	ff	k	0.0	0.0	100.0	0.54	0.0	26.83	-
f	f	f	s	p	b	y	v	k	0.0	0.29	200.0	0.335	0.0	16.92	-
t	f	f	g	g	b	u	dd	e	2.0	0.165	320.0	2.0	1300.0	24.42	-
t	t	f	g	g	b	u	v	m	1.0	13.875	352.0	1.25	112.0	42.83	-
f	f	f	g	g	a	u	v	aa	0.0	0.165	220.0	6.165	1000.0	22.75	-
f	f	f	s	p	b	y	v	m	0.0	0.165	400.0	1.71	0.0	39.42	-
f	t	f	g	p	a	y	h	k	0.0	3.0	20.0	11.5	16.0	23.58	-
f	t	f	g	p	b	y	n	r	0.0	0.75	132.0	0.75	2.0	21.42	-
f	t	f	g	p	b	y	v	w	0.0	7.0	280.0	2.5	0.0	33.0	-
f	t	f	g	g	b	u	dd	e	0.0	0.0	140.0	13.0	1110.0	26.33	-
f	t	f	s	g	a	u	h	k	0.0	1.0	240.0	4.585	0.0	45.0	-
f	f	f	g	g	b	u	v	w	0.0	0.125	100.0	1.54	0.0	26.25	-
f	f	f	g	g	?	u	v	aa	0.0	0.04	260.0	0.585	1004.0	28.17	-
f	f	f	g	p	a	y	dd	e	0.0	1.0	260.0	0.5	0.0	20.83	-
f	f	f	g	g	b	u	v	d	0.0	0.125	0.0	14.5	286.0	28.67	-
f	t	f	s	p	b	y	v	c	0.0	2.0	240.0	0.835	0.0	20.67	-
f	t	f	g	g	b	u	bb	i	0.0	0.125	440.0	1.335	4500.0	34.42	-
f	t	f	s	g	b	u	bb	i	0.0	4.0	420.0	0.25	0.0	33.58	-
f	t	f	g	g	b	u	bb	i	0.0	2.25	141.0	5.0	0.0	43.17	-
f	f	f	g	g	a	u	v	c	0.0	0.165	160.0	7.0	0.0	22.67	-
f	f	f	g	p	a	y	bb	i	0.0	4.5	200.0	2.5	456.0	24.33	-
f	t	f	g	p	a	y	ff	ff	0.0	5.0	0.0	4.25	4.0	56.83	-
f	t	f	g	g	b	u	v	k	0.0	1.585	100.0	11.46	1212.0	22.08	-
f	t	f	g	p	b	y	v	c	0.0	1.5	60.0	5.5	0.0	34.0	-
f	t	f	g	p	b	y	v	aa	0.0	0.54	120.0	1.5	67.0	22.58	-
f	t	f	s	g	b	u	v	c	0.0	0.5	0.0	0.0	0.0	21.17	-
f	t	f	g	g	b	u	bb	i	0.0	0.0	178.0	14.585	0.0	26.67	-
f	f	f	s	g	b	u	v	m	0.0	0.085	0.0	0.17	0.0	22.92	-
f	f	f	g	g	b	u	v	e	0.0	1.0	600.0	7.0	0.0	15.17	-
f	f	f	g	g	b	u	bb	i	0.0	0.21	550.0	5.0	0.0	39.92	-
f	t	f	g	g	b	u	bb	aa	0.0	0.25	720.0	12.5	0.0	27.42	-
f	t	f	g	g	b	u	v	m	0.0	1.0	120.0	0.54	1.0	24.75	-
f	f	f	g	p	b	y	v	w	0.0	0.25	0.0	1.25	195.0	41.17	-
f	t	f	g	g	a	u	v	d	0.0	0.54	0.0	1.625	0.0	33.08	-
f	f	f	g	p	b	y	h	x	0.0	0.04	128.0	2.04	1.0	29.83	-
f	f	f	g	p	a	y	ff	ff	0.0	0.125	120.0	0.585	87.0	23.58	-
f	t	f	g	p	b	y	h	k	0.0	1.25	0.0	12.5	17.0	26.17	-
f	f	f	g	g	b	u	v	c	0.0	0.085	300.0	2.085	0.0	31.0	-
f	f	f	g	p	b	y	v	j	0.0	0.29	140.0	5.085	184.0	20.75	-
f	f	f	g	g	b	u	v	c	0.0	0.29	220.0	0.375	140.0	28.92	-
f	t	f	g	g	a	u	bb	i	0.0	3.085	73.0	6.5	0.0	51.92	-
f	f	f	s	g	a	u	v	q	0.0	0.75	160.0	0.335	0.0	22.67	-
f	t	f	g	p	b	y	bb	i	0.0	1.085	480.0	5.085	0.0	34.0	-
f	f	f	s	g	a	u	ff	ff	0.0	0.0	0.0	6.0	0.0	69.5	-
t	f	f	g	p	a	y	v	c	1.0	1.0	2000.0	0.665	2.0	19.58	-
t	f	f	g	g	b	u	v	w	1.0	0.085	0.0	3.125	6.0	16.0	-
t	f	f	g	g	b	u	v	q	4.0	0.335	160.0	0.25	8.0	17.08	-
t	f	f	g	g	b	u	ff	ff	5.0	0.0	176.0	2.835	146.0	31.25	-
t	f	f	g	g	b	u	v	c	1.0	1.25	0.0	3.0	22.0	25.17	-
f	f	f	g	g	a	u	v	i	0.0	0.085	144.0	0.79	0.0	22.67	-
f	f	f	s	g	b	u	bb	i	0.0	0.0	300.0	1.5	0.0	40.58	-
f	t	f	g	g	b	u	v	k	0.0	0.125	280.0	0.46	55.0	22.25	-
f	f	f	g	p	a	y	ff	ff	0.0	3.25	280.0	1.25	0.0	22.25	-
f	f	f	g	p	b	y	v	k	0.0	0.125	200.0	0.125	70.0	22.5	-
f	t	f	g	g	b	u	v	c	0.0	0.54	136.0	1.79	1.0	23.58	-
t	f	f	g	g	b	u	v	c	2.0	0.375	225.0	0.705	500.0	38.42	-
f	t	f	g	p	a	y	ff	ff	0.0	0.0	180.0	2.54	60.0	26.58	-
f	t	f	g	g	b	u	v	i	0.0	1.0	210.0	2.5	0.0	35.0	-
f	f	f	g	g	b	u	v	q	0.0	1.5	108.0	1.085	7.0	20.42	-
f	f	f	g	g	b	u	v	w	0.0	1.75	200.0	1.25	0.0	29.42	-
f	f	f	g	g	b	u	v	cc	0.0	1.165	100.0	0.835	0.0	26.17	-
f	f	f	p	g	b	u	v	c	0.0	1.5	120.0	2.165	0.0	33.67	-
f	f	f	g	g	b	u	v	c	0.0	0.25	110.0	1.25	0.0	24.58	-
f	t	f	g	g	a	u	v	w	0.0	0.25	180.0	2.04	50.0	27.67	-
f	f	f	g	g	b	u	v	e	0.0	0.04	120.0	0.835	5.0	37.5	-
f	f	f	g	g	b	u	ff	ff	0.0	0.29	200.0	2.29	3.0	49.17	-
f	f	f	g	p	b	y	v	cc	0.0	0.085	180.0	0.335	0.0	33.58	-
f	f	f	g	p	b	y	ff	ff	0.0	1.5	180.0	3.0	4.0	51.83	-
f	f	f	g	p	b	y	v	c	0.0	0.165	160.0	3.165	1058.0	22.92	-
f	t	f	g	g	b	u	v	k	0.0	0.085	356.0	1.54	0.0	21.83	-
f	f	f	g	g	b	u	v	aa	0.0	0.5	200.0	1.0	0.0	25.25	-
f	t	f	g	g	b	u	v	c	0.0	2.415	320.0	2.71	0.0	58.58	-
t	f	f	g	p	b	y	ff	ff	4.0	0.0	45.0	0.0	1.0	19.0	-
t	f	f	g	g	b	u	ff	ff	3.0	0.0	350.0	0.585	769.0	19.58	-
f	t	f	s	g	a	u	ff	ff	0.0	0.0	62.0	0.165	27.0	53.33	-
t	f	f	g	g	a	u	ff	ff	1.0	0.0	92.0	1.25	300.0	27.17	-
t	t	f	g	g	b	u	v	k	2.0	0.375	174.0	0.875	3.0	25.92	-
t	f	f	s	g	b	u	v	k	11.0	1.0	0.0	0.0	0.0	23.08	-
t	f	f	g	g	b	u	ff	ff	2.0	0.0	17.0	5.0	1.0	39.58	-
f	t	f	s	p	b	y	v	m	0.0	0.125	80.0	2.71	0.0	30.58	-
f	t	f	g	g	b	u	v	k	0.0	0.04	160.0	3.0	40.0	17.25	-
f	f	f	g	p	a	y	ff	j	0.0	0.0	86.0	0.0	0.0	17.67	-
f	f	f	g	g	b	u	v	c	0.0	0.165	132.0	0.125	0.0	16.5	-
f	f	f	g	g	a	u	ff	ff	0.0	0.0	340.0	1.665	1.0	27.33	-
t	f	f	g	g	b	u	ff	ff	1.0	0.0	96.0	1.125	19.0	31.25	-
f	f	f	g	g	b	u	v	c	0.0	0.5	0.0	7.0	0.0	20.0	-
f	f	f	g	g	b	u	v	c	0.0	1.5	0.0	1.625	316.0	39.5	-
f	f	f	g	g	b	u	v	q	0.0	3.5	454.0	4.25	50.0	36.5	-
f	t	f	g	g	?	u	v	w	0.0	0.25	300.0	0.665	0.0	29.75	-
f	t	f	g	g	b	u	v	d	0.0	3.75	0.0	1.5	350.0	52.42	-
f	f	f	g	g	b	u	v	w	0.0	0.085	320.0	18.125	3552.0	36.17	-
f	f	f	g	p	b	y	v	c	0.0	0.04	240.0	0.75	0.0	29.67	-
f	f	f	g	g	b	u	bb	i	0.0	5.0	210.0	5.5	687.0	36.17	-
f	t	f	g	p	b	y	v	c	0.0	1.5	160.0	0.29	0.0	25.67	-
f	f	f	g	p	a	y	v	c	0.0	0.0	120.0	2.415	0.0	24.5	-
t	f	f	g	g	b	u	v	m	4.0	0.085	254.0	0.875	1950.0	24.08	-
f	f	f	g	g	b	u	v	c	0.0	0.125	360.0	0.5	0.0	21.92	-
t	f	f	g	g	a	u	ff	ff	10.0	0.0	200.0	0.29	18.0	36.58	-
t	f	f	g	g	a	u	j	j	1.0	0.0	200.0	1.835	53.0	23.0	-
t	t	f	g	g	a	u	v	m	1.0	2.79	280.0	3.0	10.0	27.58	-
t	t	f	g	g	b	u	v	c	2.0	2.5	160.0	3.085	41.0	31.08	-
t	f	f	g	g	a	u	h	w	3.0	0.04	0.0	1.375	33.0	30.42	-
f	f	f	g	g	b	u	v	k	0.0	0.75	180.0	2.335	0.0	22.08	-
f	t	f	g	g	b	u	h	i	0.0	0.415	120.0	4.085	0.0	16.33	-
f	f	f	g	g	a	u	h	k	0.0	0.085	320.0	11.665	5.0	21.92	-
f	f	f	g	p	b	y	h	i	0.0	0.04	140.0	4.125	100.0	21.08	-
f	f	f	g	g	b	u	v	i	0.0	0.125	60.0	6.5	100.0	17.42	-
f	t	f	g	p	b	y	v	i	0.0	1.0	360.0	4.0	1000.0	19.17	-
f	f	f	g	g	b	u	v	c	0.0	0.125	0.0	0.415	44.0	20.67	-
f	t	f	g	g	b	u	v	d	0.0	0.75	80.0	2.0	0.0	26.75	-
f	t	f	g	g	b	u	h	i	0.0	0.085	220.0	0.835	5.0	23.58	-
f	t	f	s	p	b	y	h	i	0.0	10.0	200.0	2.5	0.0	39.17	-
f	f	f	g	g	b	u	v	i	0.0	0.415	0.0	11.5	0.0	22.75	-
f	f	f	s	p	?	y	?	?	0.0	0.085	80.0	2.71	0.0	26.5	-
t	t	f	g	g	a	u	v	i	6.0	0.165	240.0	0.5	35.0	16.92	-
t	t	f	g	p	b	y	v	k	1.0	0.415	280.0	3.165	80.0	23.5	-
t	t	f	g	g	a	u	v	aa	10.0	1.75	0.0	9.5	10.0	17.33	-
t	f	f	g	p	b	y	v	c	2.0	0.04	128.0	0.415	6.0	23.75	-
f	f	f	s	g	b	u	v	m	0.0	1.165	28.0	1.08	0.0	34.67	-
t	f	f	g	p	b	y	ff	ff	2.0	0.04	0.0	19.0	351.0	74.83	-
f	f	f	g	p	b	y	v	k	0.0	0.085	216.0	0.125	2100.0	28.17	-
f	t	f	g	p	b	y	v	aa	0.0	0.04	120.0	13.335	475.0	24.5	-
f	t	f	g	p	b	y	ff	ff	0.0	0.0	180.0	3.54	1.0	18.83	-
f	t	f	g	g	?	u	v	q	0.0	0.125	263.0	1.0	0.0	45.33	-
t	f	t	g	g	a	u	h	q	1.0	2.75	333.0	0.75	892.0	47.25	+
t	t	t	g	g	b	u	v	q	2.0	4.625	520.0	0.875	2000.0	24.17	+
t	f	t	g	g	b	u	v	m	14.0	6.5	240.0	9.5	4607.0	39.25	+
f	f	t	g	g	a	u	h	c	0.0	6.0	340.0	11.835	0.0	20.5	+
f	f	t	g	p	a	y	h	c	0.0	3.0	240.0	4.415	0.0	18.83	+
f	f	t	g	g	b	u	v	w	0.0	1.5	120.0	9.5	2206.0	19.17	+
f	t	t	g	g	a	u	h	x	0.0	1.04	160.0	0.875	5860.0	25.0	+
t	t	t	g	g	b	u	v	c	3.0	1.665	40.0	9.25	28.0	20.17	+
t	t	t	g	g	b	u	v	c	5.0	1.46	312.0	0.5	0.0	25.75	+
t	f	t	g	g	b	u	v	c	3.0	1.625	200.0	7.0	1391.0	20.42	+
t	t	t	g	g	b	u	v	cc	10.0	3.5	0.0	5.0	0.0	39.0	+
t	f	t	g	g	a	u	ff	ff	1.0	0.0	232.0	0.165	100.0	64.08	+
t	f	t	g	g	b	u	v	x	2.0	4.75	420.0	5.125	7.0	28.25	+
t	t	t	g	g	a	u	v	c	1.0	1.085	371.0	3.75	0.0	28.75	+
t	f	t	g	g	b	u	v	c	16.0	7.0	0.0	19.5	5000.0	31.33	+
t	f	t	g	g	a	u	v	aa	2.0	0.75	88.0	9.0	591.0	18.92	+
t	f	t	g	g	a	u	h	q	19.0	1.835	0.0	3.0	500.0	24.75	+
t	f	t	g	g	a	u	v	c	1.0	2.0	220.0	12.0	19.0	30.67	+
t	t	t	g	p	b	y	v	w	1.0	2.25	80.0	4.79	300.0	21.0	+
t	t	t	g	p	b	y	v	w	2.0	1.75	120.0	4.0	1000.0	13.75	+
f	f	t	g	g	a	u	j	j	0.0	0.0	100.0	4.0	960.0	46.0	+
f	f	t	g	g	a	u	v	c	0.0	2.5	0.0	0.0	0.0	44.33	+
f	f	t	g	g	b	u	dd	e	0.0	0.0	0.0	9.96	0.0	20.25	+
f	f	t	g	p	b	y	h	c	0.0	2.585	0.0	2.54	0.0	22.67	+
t	f	t	g	g	a	u	v	aa	4.0	4.0	0.0	5.0	99.0	60.92	+
t	t	t	g	g	b	u	v	c	5.0	1.75	352.0	0.75	690.0	16.08	+
t	f	t	g	g	a	u	v	q	4.0	0.585	80.0	0.375	0.0	28.17	+
t	t	t	g	g	b	u	v	x	5.0	0.125	480.0	1.71	0.0	39.17	+
t	f	t	g	g	?	u	v	k	1.0	1.5	160.0	7.5	234.0	20.42	+
t	t	t	g	g	a	u	dd	e	5.0	2.25	99.0	5.29	500.0	30.0	+
t	f	t	g	g	b	u	v	m	1.0	1.29	260.0	3.0	800.0	22.83	+
t	f	t	g	g	a	u	v	q	10.0	1.75	80.0	8.5	990.0	22.5	-
f	t	t	g	g	a	u	v	q	0.0	2.415	440.0	1.665	0.0	28.58	-
f	t	t	g	g	b	u	v	c	0.0	2.5	140.0	1.5	0.0	45.17	-
f	f	t	g	g	b	u	v	k	0.0	0.21	160.0	1.75	0.0	41.58	-
f	t	t	g	g	a	u	bb	i	0.0	1.0	252.0	0.335	2197.0	57.08	-
t	t	t	g	g	a	u	h	k	3.0	6.75	100.0	7.08	50.0	55.75	-
t	f	t	g	g	b	u	h	q	1.0	0.21	760.0	25.21	90.0	43.25	-
f	t	t	g	g	a	u	h	c	0.0	2.75	360.0	2.085	1.0	25.33	-
f	f	t	g	g	a	u	h	aa	0.0	1.75	400.0	0.67	0.0	24.58	-
f	f	t	g	g	b	u	bb	i	0.0	0.75	560.0	2.25	0.0	43.17	-
f	f	t	g	g	b	u	ff	ff	0.0	0.0	130.0	0.835	1.0	40.92	-
f	t	t	g	g	b	u	v	aa	0.0	7.5	523.0	2.5	0.0	31.83	-
f	f	t	g	p	a	y	ff	ff	0.0	0.0	320.0	1.585	0.0	33.92	-
f	f	t	g	g	a	u	ff	ff	0.0	0.0	80.0	1.25	0.0	24.92	-
f	t	t	g	g	b	u	h	x	0.0	3.75	680.0	3.165	0.0	35.25	-
f	t	t	g	g	b	u	bb	w	0.0	0.25	163.0	1.75	0.0	34.25	-
f	f	t	g	g	b	u	?	?	0.0	0.54	0.0	5.5	340.0	80.25	-
f	t	t	g	p	b	y	v	cc	0.0	2.0	100.0	1.5	20.0	19.42	-
f	f	t	g	g	b	u	bb	i	0.0	1.0	0.0	3.0	200.0	42.75	-
f	t	t	g	p	b	y	h	k	0.0	0.835	140.0	10.0	0.0	19.67	-
f	t	t	g	g	b	u	v	w	0.0	1.165	200.0	3.79	0.0	36.33	-
t	t	t	g	p	b	y	bb	i	10.0	0.5	132.0	1.04	28.0	30.08	-
f	f	t	s	p	b	y	v	d	0.0	1.5	0.0	11.0	0.0	44.25	-
t	t	t	g	p	b	y	v	w	6.0	2.625	208.0	0.46	347.0	23.58	-
t	f	t	g	g	b	u	h	d	6.0	1.875	200.0	1.5	327.0	23.92	+
t	t	t	g	g	b	u	v	x	7.0	0.75	340.0	1.0	4071.0	33.17	+
f	f	t	s	g	b	u	v	m	0.0	16.0	110.0	12.0	0.0	48.33	+
t	t	t	g	g	b	u	z	e	1.0	12.75	0.0	22.29	109.0	76.75	+
t	f	t	g	g	b	u	bb	i	11.0	0.0	0.0	10.0	1249.0	51.33	+
t	t	t	g	g	b	u	n	r	9.0	5.375	0.0	15.0	134.0	34.75	+
t	f	t	g	g	b	u	v	w	14.0	4.0	383.0	3.335	1344.0	38.58	+
t	f	t	g	p	a	y	h	x	4.0	0.75	0.0	11.25	321.0	22.42	+
t	f	t	g	g	b	u	h	c	6.0	0.21	220.0	0.42	948.0	41.92	+
t	t	t	g	g	b	u	v	w	2.0	7.5	330.0	4.5	0.0	29.58	+
t	f	t	g	g	a	u	v	w	16.0	1.085	120.0	1.46	2079.0	32.17	+
f	f	t	g	g	b	u	h	x	0.0	0.04	0.0	0.04	3000.0	51.42	+
t	t	t	g	g	a	u	h	q	7.0	2.29	140.0	2.29	2384.0	22.83	+
t	f	t	g	g	a	u	h	cc	6.0	3.5	400.0	12.33	458.0	25.0	+
f	f	t	g	g	b	u	h	x	0.0	1.25	0.0	1.125	5298.0	26.75	+
f	f	t	g	g	b	u	h	c	0.0	1.415	422.0	1.5	200.0	23.33	+
f	t	t	g	g	b	u	h	q	0.0	1.585	120.0	12.335	0.0	24.42	+
f	t	t	g	g	b	u	h	q	0.0	12.75	92.0	5.04	0.0	42.17	+
f	f	t	g	g	a	u	v	aa	0.0	0.04	100.0	3.0	0.0	20.83	+
t	t	t	g	g	b	u	h	w	11.0	2.125	290.0	11.5	284.0	23.08	+
f	f	t	g	g	a	u	h	x	0.0	0.875	360.0	2.875	0.0	25.17	+
t	t	t	g	p	b	y	v	c	8.0	0.375	300.0	0.375	162.0	43.08	+
t	f	t	g	g	a	u	v	aa	4.0	0.75	0.0	0.915	1583.0	35.75	+
t	t	t	g	g	b	u	v	w	5.0	1.75	60.0	2.75	58.0	59.5	+
t	t	t	g	p	b	y	v	d	8.0	1.085	160.0	3.0	1.0	21.0	+
t	t	t	g	p	b	y	v	x	1.0	0.04	840.0	0.54	59.0	21.92	+
t	t	t	g	g	a	u	ff	ff	11.0	0.0	0.0	14.0	1400.0	65.17	+
t	f	t	g	g	a	u	h	c	4.0	1.0	50.0	10.0	1465.0	20.33	+
t	t	t	g	p	b	y	h	c	1.0	3.25	432.0	0.165	8000.0	32.25	+
t	f	t	g	g	b	u	v	c	11.0	1.75	32.0	0.5	540.0	30.17	+
t	f	t	g	g	b	u	v	c	3.0	1.0	0.0	6.0	0.0	25.17	+
t	f	t	g	g	b	u	v	c	10.0	1.5	186.0	1.625	4700.0	39.17	+
t	t	t	g	g	b	u	v	m	5.0	1.29	108.0	6.0	1097.0	39.08	+
t	t	t	g	g	b	u	v	x	8.0	1.335	303.0	0.83	3290.0	31.67	+
t	f	f	s	g	b	u	v	e	1.0	0.04	560.0	0.04	0.0	41.0	+
f	t	t	g	g	b	u	v	m	0.0	0.125	225.0	4.25	0.0	48.5	+
f	t	t	g	p	b	y	h	w	0.0	5.25	154.0	9.0	0.0	32.67	+
f	f	t	g	p	a	y	z	e	0.0	0.0	0.0	15.0	13212.0	28.08	+
f	t	t	g	g	b	u	ff	ff	0.0	0.0	0.0	17.75	0.0	73.42	+
t	t	t	g	g	b	u	h	x	9.0	17.5	0.0	20.0	1000.0	64.08	+
t	f	t	g	g	b	u	v	c	9.0	8.5	0.0	15.0	0.0	51.58	+
t	t	t	g	p	b	y	v	c	5.0	1.0	160.0	1.75	5777.0	26.67	+
t	t	t	g	g	b	u	v	c	7.0	0.29	96.0	0.58	5124.0	25.33	+
t	f	t	g	g	b	u	v	cc	8.0	3.125	330.0	6.5	1200.0	30.17	+
t	t	t	g	g	b	u	h	c	3.0	4.25	312.0	0.75	150.0	27.0	+
f	t	f	g	g	b	u	v	w	0.0	0.085	290.0	5.25	6.0	34.17	+
f	t	t	g	g	b	u	v	k	0.0	0.085	280.0	0.21	0.0	38.67	+
f	f	t	g	g	b	u	bb	c	0.0	0.25	349.0	0.75	23.0	25.75	+
t	t	t	g	g	a	u	v	c	8.0	2.375	396.0	3.0	4159.0	46.08	+
t	f	t	g	g	a	u	v	aa	3.0	2.5	80.0	6.0	918.0	21.5	+
t	f	f	g	g	?	u	v	q	1.0	1.0	240.0	0.125	768.0	20.08	+
t	t	t	g	g	b	u	v	c	11.0	2.0	200.0	2.415	3000.0	20.5	+
t	f	t	g	g	a	u	v	k	4.0	0.54	380.0	0.46	500.0	29.5	+
f	t	f	g	p	?	y	?	?	0.0	0.0	150.0	1.75	1.0	42.25	-
f	f	f	g	p	b	y	v	k	0.0	0.25	224.0	1.25	0.0	29.83	-
f	f	f	g	g	b	u	v	q	0.0	0.125	200.0	0.25	0.0	20.08	-
f	f	t	g	g	b	u	h	c	0.0	0.085	180.0	0.585	0.0	23.42	-
f	t	f	g	p	a	y	v	k	0.0	1.25	280.0	1.75	0.0	29.58	-
f	f	f	g	g	b	u	v	c	0.0	0.04	0.0	0.04	0.0	16.17	+
f	t	f	g	g	b	u	v	k	0.0	0.5	232.0	3.5	0.0	32.33	-
f	t	f	g	g	b	u	bb	x	0.0	0.085	520.0	4.165	0.0	47.83	-
f	f	f	g	p	b	y	v	k	0.0	0.125	140.0	1.25	4.0	20.0	-
t	t	f	g	p	b	y	h	q	2.0	5.085	369.0	3.25	1.0	27.58	-
t	f	f	g	g	b	u	v	w	1.0	0.29	420.0	0.79	283.0	22.0	-
t	t	f	g	g	b	u	bb	c	2.0	0.585	200.0	10.915	7.0	19.33	-
f	f	f	g	g	a	u	v	c	0.0	0.125	160.0	4.415	0.0	38.33	-
t	t	f	g	g	b	u	h	c	2.0	0.25	400.0	1.25	108.0	29.42	-
t	t	f	g	g	b	u	v	i	1.0	1.585	400.0	0.75	9.0	22.67	-
t	f	f	g	p	b	y	ff	ff	2.0	0.0	160.0	14.0	1.0	32.25	-
t	t	f	g	g	b	u	v	m	1.0	2.0	460.0	4.75	68.0	29.58	-
f	f	t	g	p	b	y	v	aa	0.0	0.125	120.0	10.415	375.0	18.42	-
f	f	f	g	g	b	u	v	i	0.0	0.125	160.0	2.25	10.0	22.17	-
f	t	f	s	g	b	u	j	c	0.0	2.25	0.0	0.165	0.0	22.67	+
f	f	f	g	g	b	u	v	q	0.0	0.665	160.0	0.0	1.0	18.83	-
f	f	f	g	p	b	y	v	cc	0.0	0.665	160.0	0.79	0.0	21.58	-
f	f	f	s	g	b	u	v	c	0.0	2.085	80.0	12.0	0.0	23.75	-
f	f	f	g	g	b	u	ff	ff	0.0	0.0	0.0	2.54	1000.0	36.08	-
f	f	f	g	g	b	u	h	d	0.0	0.5	228.0	13.0	0.0	29.25	-
f	f	f	g	g	a	u	v	w	0.0	1.665	220.0	0.665	5.0	19.58	-
f	t	f	g	g	a	u	v	q	0.0	0.25	120.0	1.25	809.0	22.92	-
t	t	f	g	g	a	u	h	m	1.0	0.125	272.0	0.29	108.0	27.25	-
f	f	f	g	g	a	u	ff	ff	0.0	0.0	76.0	1.5	0.0	38.75	-
f	f	f	g	p	b	y	ff	k	0.0	0.0	120.0	2.165	0.0	32.42	-
t	t	f	g	g	a	u	v	w	1.0	0.25	240.0	0.71	4.0	23.75	-
t	t	f	g	g	b	u	n	c	2.0	0.96	160.0	2.46	587.0	18.17	-
f	t	f	g	p	b	y	v	m	0.0	0.5	130.0	0.5	0.0	40.92	-
f	f	f	g	g	b	u	v	aa	0.0	0.79	80.0	9.585	350.0	19.5	-
f	t	f	g	g	b	u	v	aa	0.0	0.25	100.0	3.625	0.0	28.58	-
f	t	f	g	g	b	u	v	k	0.0	1.5	231.0	0.75	0.0	35.58	-
f	t	f	g	g	b	u	bb	i	0.0	2.5	232.0	2.75	200.0	34.17	-
f	t	f	g	p	?	y	v	cc	0.0	3.5	200.0	2.25	141.0	33.17	-
f	t	f	g	p	b	y	v	aa	0.0	3.5	320.0	0.75	0.0	31.58	-
f	f	f	g	g	a	u	h	aa	0.0	3.0	0.0	7.0	0.0	52.5	-
f	t	f	g	p	b	y	v	w	0.0	0.29	309.0	0.42	2.0	36.17	-
f	t	f	g	g	b	u	v	cc	0.0	0.165	0.0	2.665	501.0	37.33	-
f	f	f	g	g	a	u	v	c	0.0	0.165	0.0	8.5	351.0	20.83	-
f	t	f	g	g	b	u	v	aa	0.0	0.25	0.0	9.0	0.0	24.08	-
f	t	f	g	g	b	u	h	k	0.0	3.5	340.0	0.335	0.0	25.58	-
