h	c	b	a	f	g	e	d	class
11.0	0.185	0.525	0.715	0.383	0.405	0.6655	1.56	F
11.0	0.22	0.6	0.735	0.44	0.6	1.1335	2.555	F
12.0	0.22	0.6	0.765	0.509	0.6205	1.007	2.302	M
4.0	0.045	0.13	0.185	0.0075	0.0095	0.012	0.029	I
3.0	0.045	0.15	0.195	0.006	0.011	0.018	0.0375	I
4.0	0.04	0.135	0.195	0.005	0.0095	0.0135	0.0325	I
4.0	0.04	0.155	0.2	0.009	0.007	0.0155	0.0435	I
4.0	0.055	0.165	0.225	0.0125	0.015	0.027	0.059	I
4.0	0.065	0.18	0.245	0.013	0.0215	0.03	0.071	I
5.0	0.065	0.18	0.25	0.0155	0.0225	0.0245	0.0685	I
7.0	0.055	0.195	0.265	0.0175	0.025	0.0365	0.084	I
6.0	0.065	0.195	0.275	0.02	0.028	0.054	0.106	I
5.0	0.085	0.21	0.28	0.024	0.034	0.0415	0.1075	I
5.0	0.065	0.22	0.285	0.0205	0.03	0.0405	0.096	I
6.0	0.08	0.22	0.3	0.0265	0.039	0.055	0.1255	I
6.0	0.055	0.235	0.315	0.027	0.039	0.065	0.151	I
6.0	0.085	0.225	0.32	0.0295	0.0405	0.0675	0.1415	I
5.0	0.08	0.265	0.34	0.0475	0.055	0.09	0.2015	I
6.0	0.1	0.28	0.37	0.0265	0.0635	0.1165	0.221	I
6.0	0.08	0.28	0.375	0.0455	0.067	0.1125	0.2345	I
6.0	0.1	0.275	0.375	0.042	0.065	0.1165	0.2325	I
7.0	0.08	0.29	0.385	0.0495	0.065	0.122	0.2485	I
6.0	0.095	0.32	0.4	0.053	0.087	0.194	0.348	I
7.0	0.11	0.3	0.405	0.044	0.093	0.172	0.32	I
7.0	0.1	0.3	0.41	0.057	0.0875	0.1255	0.282	I
6.0	0.1	0.325	0.41	0.072	0.106	0.132	0.3245	I
7.0	0.105	0.3	0.42	0.07	0.1035	0.1255	0.316	I
7.0	0.11	0.32	0.42	0.0635	0.105	0.174	0.3625	I
6.0	0.095	0.31	0.42	0.051	0.088	0.1255	0.279	I
7.0	0.115	0.325	0.425	0.0865	0.1045	0.162	0.3685	I
7.0	0.12	0.335	0.43	0.0865	0.1035	0.1985	0.397	M
6.0	0.11	0.33	0.435	0.096	0.096	0.2055	0.413	I
7.0	0.115	0.345	0.435	0.0735	0.106	0.222	0.418	I
7.0	0.11	0.33	0.44	0.084	0.12	0.1545	0.3705	I
7.0	0.105	0.345	0.445	0.1015	0.117	0.1675	0.409	I
7.0	0.145	0.34	0.445	0.0905	0.13	0.1945	0.434	I
8.0	0.11	0.335	0.445	0.0935	0.109	0.1985	0.411	I
8.0	0.125	0.365	0.45	0.0985	0.1315	0.2135	0.462	I
6.0	0.12	0.34	0.45	0.1075	0.12	0.241	0.4925	I
7.0	0.105	0.33	0.45	0.0785	0.0975	0.1865	0.3715	I
6.0	0.1	0.33	0.45	0.1	0.098	0.1945	0.411	I
6.0	0.11	0.33	0.45	0.0885	0.102	0.16	0.3685	I
7.0	0.115	0.35	0.46	0.098	0.1175	0.18	0.4155	I
7.0	0.105	0.36	0.47	0.1395	0.129	0.27	0.544	M
6.0	0.125	0.38	0.47	0.1075	0.142	0.211	0.4845	I
6.0	0.11	0.35	0.475	0.099	0.13	0.206	0.4565	I
7.0	0.1	0.35	0.475	0.111	0.115	0.2165	0.4545	I
8.0	0.125	0.38	0.48	0.1085	0.1665	0.3395	0.6245	I
7.0	0.125	0.465	0.49	0.13	0.141	0.235	0.5225	M
7.0	0.14	0.375	0.5	0.112	0.1585	0.248	0.5495	I
9.0	0.12	0.375	0.5	0.116	0.17	0.215	0.542	I
8.0	0.125	0.38	0.5	0.1135	0.134	0.2485	0.519	I
6.0	0.125	0.39	0.5	0.117	0.131	0.2485	0.5215	M
7.0	0.125	0.39	0.505	0.15	0.1405	0.246	0.5445	F
8.0	0.125	0.405	0.51	0.1395	0.182	0.3465	0.6795	I
6.0	0.125	0.4	0.51	0.115	0.1385	0.261	0.545	F
9.0	0.125	0.4	0.51	0.1195	0.1525	0.2615	0.5575	I
8.0	0.115	0.38	0.51	0.1135	0.166	0.215	0.5155	I
8.0	0.125	0.385	0.515	0.1265	0.15	0.3175	0.6115	I
9.0	0.145	0.4	0.52	0.1845	0.185	0.3525	0.7765	M
8.0	0.135	0.38	0.52	0.133	0.157	0.2295	0.5395	I
8.0	0.125	0.38	0.52	0.1295	0.167	0.288	0.5545	I
7.0	0.15	0.46	0.52	0.1985	0.254	0.523	1.019	F
8.0	0.13	0.4	0.525	0.1245	0.17	0.325	0.6455	I
9.0	0.14	0.4	0.525	0.1285	0.1835	0.2625	0.601	I
9.0	0.12	0.405	0.525	0.1555	0.201	0.3755	0.7555	M
8.0	0.12	0.395	0.525	0.1395	0.1405	0.297	0.608	I
8.0	0.125	0.4	0.53	0.127	0.19	0.279	0.617	I
9.0	0.125	0.39	0.535	0.149	0.169	0.2595	0.599	I
10.0	0.14	0.42	0.54	0.138	0.1895	0.3125	0.6665	I
7.0	0.135	0.39	0.545	0.1815	0.156	0.4225	0.7835	M
9.0	0.12	0.41	0.545	0.1405	0.19	0.434	0.793	M
9.0	0.14	0.415	0.545	0.127	0.218	0.4615	0.82	M
8.0	0.135	0.415	0.55	0.1855	0.175	0.427	0.8145	F
8.0	0.15	0.43	0.55	0.195	0.223	0.395	0.84	F
10.0	0.15	0.425	0.55	0.1765	0.2165	0.411	0.8315	M
9.0	0.145	0.43	0.56	0.1775	0.234	0.464	0.8995	M
8.0	0.16	0.445	0.56	0.2175	0.2215	0.42	0.8965	M
8.0	0.155	0.44	0.56	0.1765	0.245	0.336	0.6405	F
8.0	0.145	0.415	0.56	0.1885	0.205	0.43	0.852	M
9.0	0.15	0.455	0.565	0.2395	0.23	0.4565	0.9595	M
8.0	0.15	0.435	0.565	0.1825	0.206	0.5795	0.99	M
9.0	0.175	0.45	0.565	0.2375	0.2645	0.447	1.0095	F
9.0	0.15	0.46	0.57	0.2035	0.25	0.5415	1.0375	M
8.0	0.145	0.445	0.57	0.217	0.22	0.412	0.8775	F
8.0	0.15	0.44	0.57	0.16	0.224	0.3425	0.755	I
7.0	0.145	0.46	0.575	0.229	0.265	0.466	0.9945	F
10.0	0.16	0.45	0.575	0.214	0.2575	0.556	1.068	F
9.0	0.14	0.435	0.575	0.191	0.222	0.401	0.8455	M
9.0	0.165	0.47	0.575	0.197	0.238	0.435	0.869	F
9.0	0.135	0.455	0.575	0.197	0.26	0.4245	0.907	M
10.0	0.13	0.435	0.575	0.2155	0.245	0.3155	0.805	I
9.0	0.17	0.445	0.575	0.2175	0.228	0.549	1.0225	M
9.0	0.145	0.445	0.575	0.1945	0.22	0.415	0.847	M
8.0	0.15	0.455	0.58	0.2155	0.265	0.4765	1.114	M
9.0	0.195	0.455	0.58	0.426	0.441	0.945	1.859	M
9.0	0.135	0.445	0.58	0.1915	0.22	0.3775	0.814	M
9.0	0.14	0.45	0.58	0.1815	0.253	0.486	0.9615	M
8.0	0.145	0.45	0.58	0.1975	0.2295	0.547	1.0025	M
9.0	0.155	0.45	0.58	0.246	0.265	0.385	0.93	F
9.0	0.145	0.46	0.585	0.1825	0.235	0.478	0.9335	M
7.0	0.16	0.465	0.585	0.236	0.265	0.4595	0.9555	M
8.0	0.15	0.47	0.59	0.232	0.24	0.481	0.9955	M
9.0	0.16	0.475	0.6	0.2495	0.2565	0.485	1.0265	F
8.0	0.17	0.455	0.6	0.2395	0.24	0.696	1.1915	M
8.0	0.15	0.465	0.6	0.262	0.25	0.5455	1.1025	F
10.0	0.155	0.465	0.6	0.2465	0.225	0.512	1.0165	M
9.0	0.165	0.47	0.605	0.2275	0.292	0.611	1.1775	F
9.0	0.14	0.475	0.605	0.257	0.274	0.555	1.1175	M
10.0	0.17	0.48	0.605	0.2365	0.317	0.582	1.1835	M
9.0	0.165	0.475	0.605	0.2195	0.357	0.433	1.056	F
8.0	0.16	0.485	0.61	0.212	0.2415	0.5315	1.0145	M
9.0	0.145	0.485	0.61	0.2255	0.2865	0.783	1.3305	M
9.0	0.165	0.47	0.61	0.242	0.267	0.498	1.052	M
10.0	0.17	0.46	0.615	0.272	0.27	0.4815	1.0565	M
9.0	0.15	0.465	0.615	0.1825	0.2415	0.4615	0.923	F
9.0	0.155	0.475	0.615	0.25	0.285	0.447	1.027	F
8.0	0.135	0.47	0.62	0.2005	0.2475	0.5315	1.0195	M
8.0	0.2	0.45	0.62	0.1525	0.2405	0.4285	0.858	M
8.0	0.16	0.48	0.62	0.2445	0.281	0.5635	1.1125	F
9.0	0.175	0.485	0.625	0.2715	0.332	0.7335	1.3745	F
8.0	0.185	0.48	0.625	0.29	0.286	0.587	1.2065	M
8.0	0.155	0.47	0.63	0.211	0.287	0.589	1.1325	M
10.0	0.175	0.5	0.63	0.3065	0.3425	0.5635	1.2645	M
9.0	0.015	0.495	0.635	0.308	0.2885	0.5115	1.1565	F
10.0	0.165	0.515	0.64	0.3415	0.358	0.632	1.369	M
10.0	0.195	0.53	0.645	0.2945	0.3735	0.6465	1.39	M
10.0	0.17	0.48	0.645	0.254	0.305	0.528	1.1345	F
9.0	0.19	0.5	0.65	0.339	0.4245	0.6415	1.464	F
11.0	0.155	0.5	0.65	0.3135	0.294	0.565	1.202	M
11.0	0.16	0.515	0.655	0.369	0.345	0.553	1.31	M
10.0	0.175	0.51	0.655	0.3725	0.364	0.5885	1.415	F
11.0	0.185	0.53	0.66	0.2705	0.476	0.546	1.346	F
8.0	0.16	0.525	0.665	0.279	0.34	0.629	1.363	M
9.0	0.17	0.5	0.665	0.291	0.3595	0.6035	1.2975	I
9.0	0.205	0.505	0.67	0.3025	0.353	0.6075	1.3645	F
14.0	0.215	0.54	0.685	0.3655	0.4735	0.664	1.7025	F
10.0	0.165	0.52	0.685	0.3685	0.4	0.699	1.519	M
9.0	0.155	0.54	0.69	0.3105	0.39	0.624	1.454	F
12.0	0.21	0.53	0.69	0.405	0.3865	0.7355	1.583	M
9.0	0.17	0.53	0.69	0.3485	0.3695	0.7945	1.5535	F
10.0	0.185	0.56	0.695	0.3715	0.4375	0.885	1.74	M
9.0	0.18	0.565	0.7	0.3355	0.446	0.895	1.751	M
12.0	0.19	0.575	0.7	0.418	0.638	1.095	2.273	M
9.0	0.19	0.525	0.7	0.307	0.3995	0.8545	1.6465	F
9.0	0.17	0.55	0.705	0.236	0.301	0.6395	1.219	F
11.0	0.18	0.56	0.71	0.381	0.4525	0.735	1.652	F
12.0	0.19	0.55	0.715	0.407	0.5075	1.0465	2.0045	M
10.0	0.19	0.535	0.715	0.313	0.42	0.889	1.6755	M
10.0	0.195	0.58	0.72	0.48	0.5375	1.0265	2.103	F
10.0	0.2	0.55	0.72	0.469	0.5215	0.9035	1.9965	F
8.0	0.145	0.565	0.72	0.1945	0.2685	0.691	1.187	M
12.0	0.185	0.505	0.725	0.4255	0.4505	1.026	1.978	M
12.0	0.185	0.575	0.73	0.38	0.4825	0.931	1.8795	F
11.0	0.185	0.585	0.735	0.55	0.5	0.952	2.124	M
11.0	0.215	0.565	0.745	0.4585	0.5	0.896	1.931	M
11.0	0.21	0.57	0.75	0.5195	0.545	1.109	2.236	F
11.0	0.21	0.625	0.755	0.513	0.6785	1.1965	2.505	F
10.0	0.205	0.58	0.755	0.4015	0.595	0.8295	2.0065	M
11.0	0.215	0.63	0.78	0.4985	0.586	1.488	2.657	F
6.0	0.12	0.375	0.185	0.1045	0.15	0.196	0.4645	I
4.0	0.06	0.205	0.245	0.014	0.0215	0.034	0.0765	I
5.0	0.065	0.185	0.25	0.014	0.0225	0.0295	0.0685	I
5.0	0.065	0.19	0.25	0.015	0.025	0.039	0.0835	I
6.0	0.09	0.195	0.275	0.0295	0.0355	0.0545	0.1125	I
5.0	0.065	0.215	0.305	0.0205	0.038	0.044	0.1075	I
5.0	0.07	0.225	0.31	0.015	0.04	0.435	0.1055	I
5.0	0.08	0.23	0.315	0.031	0.0445	0.0545	0.1375	I
5.0	0.07	0.23	0.315	0.0235	0.0385	0.046	0.1145	I
6.0	0.075	0.225	0.325	0.032	0.09	0.0565	0.139	I
7.0	0.095	0.25	0.33	0.0395	0.052	0.102	0.2085	I
5.0	0.095	0.205	0.33	0.032	0.0435	0.077	0.1595	I
7.0	0.09	0.245	0.335	0.0405	0.048	0.096	0.2015	I
6.0	0.09	0.25	0.34	0.033	0.055	0.0775	0.179	I
6.0	0.095	0.255	0.345	0.037	0.055	0.0925	0.1945	I
5.0	0.085	0.255	0.345	0.037	0.05	0.105	0.2005	I
6.0	0.075	0.27	0.35	0.036	0.065	0.1	0.215	I
8.0	0.09	0.255	0.35	0.0305	0.0525	0.0855	0.1785	I
4.0	0.085	0.27	0.36	0.035	0.064	0.0875	0.196	I
6.0	0.085	0.27	0.365	0.042	0.058	0.081	0.1875	I
7.0	0.085	0.27	0.365	0.0375	0.06	0.0825	0.196	I
7.0	0.085	0.265	0.365	0.049	0.06	0.0945	0.213	I
7.0	0.09	0.29	0.37	0.0655	0.075	0.089	0.2445	I
6.0	0.085	0.28	0.37	0.035	0.062	0.1095	0.217	I
5.0	0.095	0.29	0.375	0.041	0.061	0.096	0.213	I
7.0	0.085	0.29	0.375	0.045	0.0695	0.118	0.2385	I
6.0	0.09	0.275	0.375	0.0405	0.0755	0.093	0.218	I
6.0	0.095	0.275	0.375	0.0415	0.0775	0.11	0.2465	I
8.0	0.08	0.28	0.375	0.048	0.065	0.0825	0.2025	I
7.0	0.085	0.27	0.375	0.039	0.07	0.0945	0.218	I
6.0	0.11	0.275	0.38	0.0535	0.0755	0.11	0.256	I
8.0	0.08	0.27	0.38	0.042	0.07	0.0865	0.2105	I
9.0	0.09	0.29	0.385	0.0595	0.0745	0.111	0.2615	I
8.0	0.085	0.28	0.385	0.038	0.067	0.097	0.2175	I
7.0	0.095	0.3	0.385	0.0615	0.0735	0.152	0.302	I
5.0	0.09	0.28	0.385	0.042	0.0655	0.1025	0.228	I
7.0	0.095	0.3	0.39	0.0575	0.089	0.1665	0.3265	I
8.0	0.105	0.305	0.395	0.0595	0.0945	0.1135	0.284	I
8.0	0.095	0.295	0.395	0.0625	0.085	0.115	0.2725	I
5.0	0.1	0.27	0.395	0.061	0.082	0.1445	0.2985	I
5.0	0.1	0.29	0.4	0.0605	0.0765	0.1205	0.2675	I
6.0	0.09	0.285	0.405	0.0505	0.075	0.1265	0.2645	I
7.0	0.11	0.335	0.41	0.0705	0.17	0.157	0.33	I
6.0	0.09	0.305	0.42	0.0615	0.082	0.168	0.328	I
7.0	0.11	0.325	0.425	0.045	0.1	0.173	0.3335	I
7.0	0.1	0.32	0.425	0.06	0.106	0.126	0.3055	I
7.0	0.09	0.31	0.425	0.065	0.08	0.1385	0.301	I
8.0	0.0	0.34	0.43	0.086	0.115	0.2065	0.428	I
8.0	0.095	0.315	0.43	0.08	0.1045	0.175	0.378	I
7.0	0.11	0.315	0.435	0.0715	0.12	0.1615	0.3685	I
9.0	0.12	0.34	0.44	0.083	0.12	0.2115	0.438	I
9.0	0.105	0.33	0.45	0.089	0.12	0.208	0.448	I
8.0	0.105	0.345	0.455	0.0755	0.126	0.164	0.4005	I
8.0	0.115	0.365	0.455	0.108	0.1245	0.184	0.4305	F
8.0	0.1	0.33	0.455	0.0775	0.11	0.358	0.372	I
7.0	0.105	0.36	0.46	0.099	0.11	0.2225	0.466	I
9.0	0.105	0.35	0.46	0.077	0.114	0.1575	0.3705	I
8.0	0.125	0.365	0.46	0.1045	0.141	0.206	0.4785	F
11.0	0.11	0.34	0.465	0.073	0.113	0.1425	0.346	I
8.0	0.1	0.365	0.47	0.0855	0.135	0.175	0.411	I
8.0	0.18	0.355	0.47	0.105	0.1505	0.2055	0.48	I
8.0	0.12	0.355	0.47	0.0885	0.115	0.167	0.393	I
8.0	0.1	0.355	0.475	0.091	0.14	0.2535	0.5035	I
8.0	0.12	0.38	0.475	0.0885	0.1505	0.1785	0.441	I
8.0	0.11	0.36	0.475	0.11	0.15	0.211	0.492	I
9.0	0.125	0.37	0.48	0.101	0.165	0.244	0.5435	I
8.0	0.115	0.355	0.48	0.112	0.132	0.2065	0.4725	I
8.0	0.1	0.365	0.48	0.0835	0.135	0.2205	0.461	I
8.0	0.12	0.355	0.495	0.1045	0.1495	0.214	0.4965	I
7.0	0.13	0.38	0.495	0.116	0.16	0.2185	0.5125	I
8.0	0.12	0.395	0.495	0.1375	0.167	0.224	0.553	M
9.0	0.135	0.38	0.5	0.104	0.1565	0.2945	0.594	I
9.0	0.135	0.42	0.5	0.1415	0.2065	0.302	0.6765	M
9.0	0.145	0.375	0.5	0.1375	0.185	0.239	0.5795	I
9.0	0.14	0.41	0.5	0.1625	0.196	0.2585	0.6615	I
7.0	0.125	0.375	0.5	0.124	0.157	0.259	0.5695	I
9.0	0.14	0.395	0.5	0.1205	0.195	0.2925	0.6215	I
8.0	0.13	0.405	0.505	0.11	0.18	0.3015	0.6015	I
7.0	0.12	0.38	0.505	0.1435	0.18	0.2595	0.594	I
8.0	0.105	0.395	0.505	0.103	0.171	0.248	0.551	I
7.0	0.12	0.38	0.515	0.1295	0.16	0.3265	0.625	I
13.0	0.135	0.42	0.515	0.144	0.205	0.337	0.711	I
9.0	0.135	0.4	0.515	0.1255	0.175	0.32	0.6965	I
10.0	0.13	0.4	0.52	0.1365	0.18	0.233	0.5825	I
9.0	0.125	0.395	0.52	0.131	0.1905	0.3005	0.663	I
9.0	0.125	0.4	0.525	0.1385	0.164	0.369	0.6965	I
9.0	0.155	0.42	0.525	0.1415	0.2045	0.428	0.842	M
9.0	0.13	0.415	0.53	0.111	0.167	0.3905	0.694	I
10.0	0.155	0.42	0.53	0.111	0.192	0.4725	0.81	I
9.0	0.11	0.415	0.53	0.1235	0.189	0.2525	0.5745	I
9.0	0.13	0.425	0.53	0.1205	0.21	0.419	0.7675	I
9.0	0.135	0.4	0.535	0.121	0.154	0.2895	0.6025	I
8.0	0.15	0.415	0.535	0.135	0.225	0.3595	0.5765	I
9.0	0.13	0.41	0.535	0.144	0.2075	0.335	0.7145	F
9.0	0.15	0.435	0.535	0.1445	0.194	0.3475	0.717	M
10.0	0.145	0.42	0.54	0.163	0.2175	0.4315	0.8655	F
9.0	0.14	0.42	0.54	0.1445	0.229	0.3205	0.7265	I
8.0	0.135	0.435	0.545	0.148	0.227	0.372	0.7715	I
9.0	0.15	0.445	0.545	0.163	0.207	0.3535	0.8	F
10.0	0.15	0.43	0.545	0.1315	0.2545	0.302	0.7285	I
8.0	0.135	0.405	0.545	0.1185	0.185	0.27	0.5945	I
11.0	0.145	0.43	0.55	0.171	0.223	0.3745	0.7895	I
9.0	0.125	0.405	0.55	0.137	0.2	0.2965	0.651	F
9.0	0.15	0.43	0.55	0.1905	0.248	0.413	0.8745	M
10.0	0.14	0.435	0.55	0.1555	0.2325	0.3285	0.7535	I
9.0	0.135	0.425	0.55	0.1545	0.215	0.3325	0.7305	I
9.0	0.14	0.44	0.555	0.156	0.255	0.407	0.8705	M
10.0	0.155	0.43	0.555	0.1435	0.28	0.3135	0.7395	I
9.0	0.14	0.43	0.555	0.165	0.23	0.341	0.7665	I
9.0	0.145	0.425	0.555	0.1765	0.225	0.3485	0.7905	I
9.0	0.135	0.425	0.56	0.185	0.236	0.3715	0.8205	I
9.0	0.145	0.425	0.56	0.1305	0.2165	0.3095	0.688	I
10.0	0.155	0.445	0.56	0.3225	0.2695	0.5565	1.224	F
9.0	0.145	0.455	0.56	0.1615	0.235	0.547	0.974	I
11.0	0.175	0.44	0.565	0.21	0.21	0.414	0.8735	I
8.0	0.145	0.45	0.565	0.1685	0.225	0.4215	0.8495	F
8.0	0.15	0.445	0.565	0.184	0.219	0.3635	0.796	M
11.0	0.125	0.39	0.565	0.13	0.1685	0.352	0.744	M
10.0	0.145	0.45	0.57	0.2195	0.2215	0.2825	0.751	I
8.0	0.135	0.45	0.57	0.1415	0.245	0.3815	0.794	I
9.0	0.135	0.46	0.57	0.2525	0.2655	0.397	0.9795	F
10.0	0.17	0.435	0.57	0.183	0.2705	0.382	0.873	M
10.0	0.13	0.44	0.57	0.1785	0.202	0.347	0.7665	I
9.0	0.125	0.435	0.57	0.1835	0.275	0.383	0.8965	M
10.0	0.135	0.42	0.575	0.147	0.2125	0.461	0.857	F
9.0	0.165	0.48	0.575	0.2095	0.306	0.511	1.078	F
10.0	0.155	0.46	0.575	0.176	0.22	0.4415	0.892	M
10.0	0.155	0.46	0.58	0.273	0.2955	0.6715	1.4395	M
10.0	0.135	0.455	0.58	0.167	0.204	0.405	0.7955	M
8.0	0.15	0.445	0.58	0.156	0.253	0.4	0.858	F
9.0	0.155	0.465	0.585	0.1965	0.235	0.4555	0.9145	M
10.0	0.185	0.49	0.585	0.2535	0.335	0.522	1.171	M
10.0	0.16	0.475	0.585	0.234	0.285	0.48	1.0505	I
10.0	0.165	0.46	0.585	0.2345	0.274	0.5825	1.1135	M
10.0	0.165	0.47	0.585	0.229	0.295	0.8	1.409	M
10.0	0.15	0.475	0.585	0.199	0.2885	0.5315	1.065	M
8.0	0.18	0.45	0.585	0.1855	0.237	0.336	0.7995	M
9.0	0.135	0.445	0.59	0.1745	0.23	0.328	0.7715	I
9.0	0.18	0.47	0.59	0.227	0.31	0.5985	1.187	M
10.0	0.155	0.455	0.59	0.188	0.275	0.388	0.8855	M
10.0	0.15	0.465	0.595	0.196	0.2255	0.4115	0.98	F
12.0	0.155	0.465	0.595	0.112	0.305	0.4645	1.026	F
10.0	0.17	0.475	0.6	0.272	0.309	0.508	1.1315	M
11.0	0.155	0.48	0.6	0.1885	0.325	0.451	1.014	M
10.0	0.15	0.475	0.6	0.2465	0.27	0.565	1.12	I
11.0	0.155	0.465	0.6	0.25	0.28	0.4755	1.04	F
10.0	0.145	0.455	0.6	0.1715	0.269	0.419	0.8895	F
11.0	0.155	0.46	0.6	0.189	0.295	0.4455	0.9595	M
11.0	0.15	0.485	0.605	0.226	0.33	0.6315	1.238	I
10.0	0.14	0.49	0.605	0.206	0.315	0.419	0.9755	M
11.0	0.13	0.435	0.605	0.174	0.26	0.432	0.9025	I
9.0	0.175	0.475	0.605	0.2195	0.335	0.463	1.076	F
12.0	0.16	0.47	0.605	0.2215	0.275	0.5405	1.0835	F
10.0	0.15	0.45	0.61	0.1835	0.25	0.407	0.871	M
12.0	0.165	0.48	0.61	0.257	0.305	0.6345	1.244	M
10.0	0.17	0.475	0.61	0.2335	0.3035	0.435	1.0265	M
9.0	0.15	0.465	0.61	0.1725	0.286	0.4495	0.9605	I
10.0	0.17	0.48	0.61	0.29	0.347	0.4565	1.137	M
10.0	0.16	0.46	0.61	0.197	0.275	0.494	1.0	M
10.0	0.155	0.475	0.615	0.193	0.2895	0.4475	1.004	F
10.0	0.165	0.47	0.615	0.2195	0.34	0.4465	1.128	M
10.0	0.17	0.5	0.615	0.228	0.295	0.4845	1.054	M
12.0	0.165	0.475	0.615	0.1955	0.3035	0.4905	1.023	F
10.0	0.17	0.475	0.615	0.302	0.3	0.4795	1.129	M
9.0	0.175	0.48	0.615	0.3195	0.3	0.446	1.118	M
10.0	0.155	0.475	0.615	0.2115	0.355	0.484	1.115	F
10.0	0.175	0.51	0.62	0.2385	0.39	0.5715	1.2815	M
12.0	0.18	0.495	0.62	0.254	0.355	0.5765	1.2555	M
10.0	0.15	0.5	0.62	0.3135	0.354	0.596	1.293	F
10.0	0.16	0.475	0.62	0.2685	0.33	0.463	1.1295	F
9.0	0.17	0.455	0.625	0.2345	0.315	0.4955	1.082	M
11.0	0.175	0.505	0.625	0.256	0.3045	0.5475	1.15	F
9.0	0.16	0.515	0.625	0.326	0.321	0.5715	1.264	F
12.0	0.155	0.48	0.625	0.239	0.3185	0.5865	1.2035	F
9.0	0.17	0.485	0.63	0.345	0.345	0.5945	1.3205	F
11.0	0.18	0.505	0.63	0.295	0.315	0.6025	1.272	I
12.0	0.145	0.485	0.63	0.1785	0.3365	0.5065	1.062	M
10.0	0.145	0.475	0.63	0.2195	0.28	0.5165	1.0605	I
12.0	0.16	0.495	0.63	0.221	0.315	0.497	1.093	M
10.0	0.16	0.49	0.635	0.1865	0.3455	0.534	1.101	M
9.0	0.165	0.5	0.635	0.2645	0.39	0.705	1.4595	F
9.0	0.175	0.495	0.635	0.2725	0.323	0.707	1.211	F
10.0	0.17	0.475	0.635	0.2695	0.3665	0.5205	1.1935	M
10.0	0.155	0.51	0.635	0.2255	0.31	0.405	0.986	M
15.0	0.23	0.565	0.64	0.372	0.406	0.644	1.521	M
10.0	0.18	0.525	0.64	0.2995	0.4075	0.4865	1.3135	M
11.0	0.16	0.51	0.645	0.2385	0.345	0.556	1.1835	M
10.0	0.195	0.5	0.645	0.3515	0.3725	0.6165	1.401	M
11.0	0.16	0.525	0.645	0.245	0.4325	0.7455	1.5075	M
11.0	0.165	0.505	0.65	0.274	0.349	0.4785	1.16	F
11.0	0.22	0.59	0.65	0.378	0.435	0.77	1.662	F
11.0	0.175	0.525	0.65	0.3585	0.405	0.6865	1.5365	M
9.0	0.19	0.51	0.65	0.3735	0.375	0.7155	1.542	M
10.0	0.17	0.51	0.65	0.349	0.391	0.7245	1.567	F
10.0	0.19	0.525	0.655	0.3215	0.3985	0.564	1.3595	F
13.0	0.205	0.535	0.655	0.3595	0.46	0.7305	1.6445	M
10.0	0.19	0.52	0.655	0.3865	0.383	0.6	1.4545	F
10.0	0.175	0.49	0.655	0.294	0.365	0.6395	1.3585	M
10.0	0.21	0.495	0.66	0.3525	0.3925	0.724	1.548	F
10.0	0.17	0.515	0.66	0.3125	0.3575	0.615	1.337	F
10.0	0.18	0.53	0.665	0.342	0.435	0.6345	1.491	F
11.0	0.225	0.53	0.67	0.487	0.3725	0.63	1.5615	F
10.0	0.175	0.505	0.67	0.271	0.3745	0.4375	1.0145	F
13.0	0.185	0.545	0.675	0.3135	0.469	0.876	1.7375	M
9.0	0.205	0.545	0.685	0.416	0.461	0.8145	1.7925	M
11.0	0.19	0.565	0.695	0.399	0.4975	0.7465	1.7635	F
12.0	0.13	0.545	0.7	0.374	0.195	0.6725	1.556	F
10.0	0.515	0.565	0.705	0.4865	0.512	1.1075	2.21	M
11.0	0.215	0.555	0.705	0.383	0.528	1.0465	2.141	M
12.0	0.18	0.57	0.705	0.4195	0.43	0.96	1.5345	F
11.0	0.17	0.55	0.71	0.345	0.45	0.743	1.614	F
13.0	0.17	0.575	0.72	0.389	0.51	0.913	1.9335	F
12.0	0.215	0.575	0.72	0.564	0.5365	0.9515	2.173	M
11.0	0.2	0.6	0.725	0.3585	0.595	0.697	1.737	F
11.0	0.19	0.58	0.73	0.4345	0.52	0.6785	1.7375	F
12.0	0.205	0.565	0.735	0.46	0.565	0.949	2.1275	F
9.0	0.215	0.57	0.745	0.446	0.558	1.1565	2.25	F
14.0	0.235	0.61	0.75	0.519	0.612	1.232	2.5085	F
14.0	0.25	0.65	0.815	0.42	0.7975	0.8905	2.255	F
3.0	0.035	0.105	0.14	0.0025	0.004	0.0055	0.014	I
4.0	0.06	0.165	0.23	0.0145	0.036	0.019	0.0515	I
7.0	0.135	0.265	0.365	0.047	0.0605	0.105	0.2215	I
5.0	0.08	0.255	0.365	0.0345	0.053	0.0785	0.1985	I
6.0	0.095	0.27	0.37	0.041	0.0615	0.1325	0.232	I
7.0	0.085	0.28	0.375	0.046	0.067	0.187	0.3155	I
5.0	0.09	0.3	0.385	0.044	0.0675	0.1225	0.247	I
5.0	0.09	0.295	0.395	0.0665	0.0765	0.143	0.3025	I
6.0	0.11	0.29	0.4	0.0455	0.0825	0.188	0.329	I
7.0	0.09	0.3	0.4	0.061	0.08	0.1185	0.2815	I
8.0	0.095	0.31	0.405	0.064	0.0855	0.1785	0.3425	I
