h	class
8.0	Yes
9.0	No
9.0	Yes
8.0	Yes
10.0	No
11.0	Yes
12.0	No
10.0	No
10.0	No
11.0	Yes
12.0	No
10.0	No
17.0	Yes
8.0	No
10.0	Yes
11.0	No
7.0	No
7.0	Yes
11.0	Yes
7.0	Yes
8.0	Yes
10.0	No
10.0	No
19.0	Yes
9.0	No
9.0	Yes
11.0	No
10.0	Yes
14.0	Yes
15.0	No
27.0	Yes
13.0	Yes
5.0	No
9.0	No
8.0	Yes
7.0	No
4.0	No
3.0	No
6.0	No
7.0	No
8.0	No
9.0	No
7.0	Yes
9.0	No
11.0	No
6.0	No
7.0	Yes
8.0	Yes
10.0	No
7.0	No
12.0	Yes
12.0	Yes
9.0	Yes
6.0	Yes
10.0	No
9.0	Yes
8.0	No
12.0	Yes
9.0	No
10.0	No
16.0	No
14.0	Yes
10.0	No
7.0	No
9.0	No
10.0	Yes
9.0	Yes
9.0	No
11.0	Yes
12.0	Yes
8.0	Yes
7.0	Yes
10.0	Yes
18.0	No
8.0	No
5.0	No
10.0	Yes
16.0	Yes
12.0	Yes
17.0	Yes
14.0	Yes
12.0	No
19.0	Yes
17.0	No
11.0	No
9.0	No
5.0	Yes
9.0	No
6.0	No
5.0	No
6.0	Yes
4.0	No
7.0	Yes
6.0	No
5.0	No
10.0	Yes
13.0	No
12.0	Yes
20.0	No
14.0	No
15.0	No
14.0	No
21.0	No
16.0	Yes
13.0	Yes
6.0	Yes
6.0	No
9.0	Yes
9.0	No
14.0	Yes
12.0	Yes
10.0	No
11.0	Yes
15.0	Yes
14.0	No
6.0	No
13.0	No
5.0	No
11.0	No
10.0	No
6.0	No
21.0	No
13.0	No
25.0	No
19.0	Yes
18.0	Yes
7.0	Yes
6.0	No
5.0	No
8.0	Yes
16.0	No
27.0	No
18.0	Yes
17.0	Yes
13.0	No
17.0	Yes
8.0	No
10.0	No
7.0	No
13.0	No
14.0	Yes
13.0	No
8.0	No
17.0	Yes
13.0	No
14.0	No
9.0	No
13.0	Yes
7.0	No
7.0	No
12.0	No
7.0	Yes
13.0	Yes
9.0	No
9.0	No
17.0	Yes
14.0	No
13.0	Yes
15.0	No
17.0	Yes
8.0	No
8.0	No
12.0	Yes
11.0	No
7.0	No
10.0	Yes
11.0	No
9.0	Yes
10.0	No
9.0	No
6.0	Yes
12.0	No
11.0	Yes
13.0	Yes
14.0	No
11.0	No
14.0	Yes
12.0	Yes
8.0	Yes
13.0	Yes
8.0	Yes
13.0	No
10.0	Yes
11.0	Yes
17.0	No
13.0	No
14.0	No
13.0	No
14.0	No
15.0	No
13.0	No
12.0	Yes
18.0	No
14.0	No
15.0	Yes
13.0	No
15.0	Yes
20.0	Yes
14.0	No
19.0	No
9.0	Yes
10.0	Yes
9.0	Yes
8.0	No
10.0	No
7.0	No
9.0	No
9.0	No
9.0	No
7.0	No
6.0	No
10.0	No
6.0	No
10.0	Yes
9.0	No
6.0	No
12.0	Yes
10.0	No
13.0	No
8.0	Yes
7.0	No
8.0	No
10.0	No
10.0	No
9.0	Yes
11.0	No
11.0	Yes
23.0	No
12.0	No
16.0	No
11.0	Yes
13.0	Yes
13.0	No
7.0	Yes
8.0	No
16.0	Yes
14.0	No
17.0	Yes
13.0	Yes
13.0	Yes
12.0	No
15.0	No
10.0	No
14.0	Yes
12.0	Yes
8.0	No
17.0	No
10.0	No
11.0	Yes
13.0	Yes
15.0	No
15.0	No
9.0	No
15.0	Yes
9.0	No
13.0	Yes
23.0	No
23.0	Yes
18.0	No
11.0	Yes
17.0	Yes
17.0	Yes
11.0	No
7.0	No
6.0	No
6.0	No
21.0	Yes
17.0	No
13.0	No
11.0	Yes
16.0	Yes
9.0	No
12.0	No
19.0	Yes
18.0	Yes
17.0	No
11.0	Yes
13.0	Yes
13.0	Yes
17.0	Yes
20.0	No
13.0	No
11.0	No
12.0	Yes
18.0	No
18.0	Yes
15.0	No
12.0	No
19.0	Yes
15.0	Yes
16.0	No
12.0	No
8.0	No
3.0	Yes
12.0	No
12.0	No
12.0	No
10.0	Yes
8.0	No
12.0	No
12.0	No
10.0	No
5.0	Yes
5.0	Yes
11.0	No
16.0	No
11.0	No
12.0	No
14.0	No
11.0	No
10.0	No
11.0	Yes
16.0	No
10.0	Yes
10.0	Yes
7.0	No
14.0	No
14.0	No
14.0	No
17.0	No
14.0	No
17.0	No
13.0	No
12.0	No
16.0	No
10.0	Yes
15.0	No
15.0	No
10.0	No
12.0	No
15.0	No
8.0	No
10.0	No
9.0	No
7.0	Yes
12.0	No
9.0	No
10.0	Yes
18.0	Yes
11.0	Yes
18.0	No
10.0	No
13.0	Yes
15.0	No
12.0	No
10.0	No
6.0	Yes
13.0	No
14.0	No
6.0	Yes
10.0	No
9.0	Yes
11.0	No
18.0	No
11.0	No
16.0	No
16.0	No
14.0	No
23.0	Yes
9.0	No
16.0	No
9.0	No
13.0	Yes
10.0	Yes
9.0	Yes
11.0	No
9.0	Yes
12.0	Yes
14.0	No
6.0	No
7.0	No
9.0	No
10.0	No
10.0	Yes
9.0	Yes
8.0	No
5.0	No
6.0	No
5.0	No
5.0	No
4.0	No
20.0	No
14.0	Yes
13.0	No
8.0	Yes
17.0	Yes
11.0	No
11.0	Yes
9.0	Yes
16.0	Yes
8.0	No
13.0	Yes
11.0	Yes
20.0	Yes
14.0	Yes
14.0	No
14.0	Yes
12.0	No
18.0	Yes
13.0	Yes
8.0	No
14.0	No
13.0	No
8.0	Yes
12.0	Yes
14.0	No
14.0	Yes
8.0	No
13.0	No
11.0	No
14.0	Yes
15.0	Yes
7.0	Yes
10.0	No
11.0	No
8.0	No
9.0	Yes
12.0	Yes
15.0	No
12.0	Yes
15.0	Yes
19.0	Yes
12.0	No
9.0	No
5.0	No
6.0	No
6.0	No
6.0	No
7.0	No
7.0	No
6.0	No
6.0	No
8.0	No
6.0	No
8.0	Yes
8.0	No
8.0	No
8.0	No
10.0	No
7.0	Yes
8.0	Yes
7.0	No
9.0	Yes
9.0	Yes
11.0	Yes
9.0	No
11.0	Yes
9.0	Yes
9.0	Yes
10.0	Yes
9.0	No
8.0	No
9.0	No
10.0	Yes
10.0	No
10.0	Yes
12.0	Yes
11.0	No
12.0	No
11.0	No
15.0	Yes
13.0	No
13.0	No
9.0	No
14.0	No
10.0	No
10.0	No
4.0	No
4.0	No
5.0	No
4.0	No
5.0	No
5.0	No
6.0	No
6.0	No
7.0	No
7.0	No
6.0	No
6.0	No
7.0	No
6.0	No
7.0	No
7.0	No
6.0	No
6.0	No
7.0	No
6.0	No
8.0	No
7.0	No
6.0	No
7.0	No
6.0	No
7.0	No
9.0	Yes
7.0	No
8.0	No
8.0	Yes
7.0	Yes
7.0	No
7.0	No
9.0	Yes
7.0	Yes
8.0	Yes
6.0	No
6.0	Yes
8.0	No
9.0	Yes
8.0	No
7.0	No
9.0	No
8.0	No
7.0	Yes
8.0	No
8.0	No
7.0	Yes
9.0	No
9.0	No
11.0	No
8.0	No
8.0	No
9.0	Yes
8.0	Yes
10.0	No
10.0	No
8.0	Yes
9.0	No
10.0	No
9.0	No
10.0	Yes
9.0	No
8.0	No
11.0	No
9.0	No
8.0	Yes
11.0	No
11.0	No
9.0	Yes
12.0	Yes
9.0	No
9.0	Yes
13.0	No
8.0	Yes
10.0	No
12.0	Yes
13.0	No
10.0	No
12.0	Yes
10.0	Yes
4.0	No
5.0	No
5.0	No
6.0	No
6.0	No
6.0	No
8.0	No
6.0	No
7.0	No
7.0	No
7.0	No
7.0	No
7.0	No
6.0	No
7.0	No
7.0	No
7.0	No
8.0	No
8.0	No
8.0	Yes
7.0	No
8.0	No
9.0	Yes
7.0	Yes
8.0	No
8.0	No
9.0	No
9.0	No
9.0	No
7.0	Yes
7.0	Yes
9.0	No
8.0	No
8.0	No
8.0	No
9.0	Yes
9.0	No
9.0	Yes
9.0	No
8.0	No
8.0	Yes
7.0	No
8.0	No
8.0	Yes
9.0	Yes
8.0	No
8.0	No
9.0	Yes
9.0	Yes
10.0	Yes
10.0	No
9.0	No
7.0	Yes
9.0	No
10.0	Yes
9.0	Yes
10.0	Yes
11.0	Yes
9.0	No
10.0	Yes
11.0	Yes
10.0	Yes
8.0	Yes
9.0	Yes
9.0	Yes
9.0	No
9.0	Yes
9.0	Yes
10.0	No
9.0	Yes
9.0	No
10.0	Yes
9.0	No
11.0	Yes
13.0	Yes
13.0	No
11.0	Yes
11.0	Yes
10.0	Yes
13.0	Yes
11.0	No
9.0	Yes
11.0	Yes
12.0	No
11.0	Yes
3.0	No
4.0	No
4.0	No
5.0	No
6.0	No
6.0	No
6.0	No
7.0	No
5.0	No
7.0	No
8.0	No
7.0	No
7.0	No
8.0	No
8.0	No
7.0	No
7.0	No
8.0	No
7.0	No
6.0	No
8.0	No
8.0	No
7.0	No
8.0	No
8.0	No
7.0	No
9.0	No
8.0	Yes
7.0	No
8.0	No
8.0	No
8.0	No
7.0	No
11.0	Yes
8.0	No
8.0	No
10.0	No
9.0	No
9.0	No
8.0	No
9.0	No
7.0	Yes
8.0	No
8.0	No
10.0	No
8.0	No
9.0	No
10.0	Yes
8.0	No
10.0	No
10.0	No
9.0	No
10.0	No
9.0	No
11.0	No
8.0	No
10.0	No
11.0	No
11.0	No
10.0	No
9.0	No
10.0	Yes
11.0	No
9.0	No
10.0	No
10.0	Yes
9.0	No
8.0	No
9.0	Yes
10.0	Yes
10.0	Yes
8.0	Yes
11.0	Yes
9.0	Yes
9.0	Yes
10.0	Yes
11.0	No
10.0	No
9.0	No
10.0	No
10.0	Yes
10.0	Yes
12.0	Yes
10.0	No
12.0	Yes
10.0	Yes
11.0	Yes
10.0	Yes
10.0	Yes
11.0	No
10.0	Yes
9.0	Yes
12.0	Yes
9.0	No
11.0	No
9.0	No
13.0	Yes
9.0	No
11.0	Yes
10.0	Yes
9.0	Yes
5.0	No
4.0	No
4.0	No
7.0	No
6.0	No
7.0	No
8.0	No
5.0	No
6.0	No
7.0	No
7.0	No
7.0	No
7.0	No
8.0	No
9.0	Yes
8.0	No
9.0	Yes
7.0	No
9.0	No
7.0	Yes
9.0	No
9.0	No
8.0	No
8.0	Yes
9.0	Yes
8.0	No
9.0	Yes
10.0	No
9.0	Yes
9.0	Yes
9.0	Yes
10.0	Yes
10.0	Yes
10.0	No
10.0	Yes
8.0	Yes
9.0	No
10.0	Yes
10.0	Yes
12.0	No
9.0	No
8.0	No
11.0	No
11.0	No
11.0	No
11.0	Yes
11.0	Yes
11.0	No
10.0	No
12.0	No
10.0	Yes
11.0	Yes
6.0	No
4.0	No
5.0	No
6.0	No
7.0	No
5.0	No
7.0	No
7.0	No
8.0	No
6.0	No
8.0	No
7.0	No
7.0	No
9.0	No
8.0	No
8.0	No
8.0	No
8.0	No
9.0	No
8.0	No
9.0	No
8.0	No
8.0	Yes
9.0	No
8.0	No
8.0	No
8.0	Yes
8.0	No
10.0	Yes
8.0	No
11.0	No
10.0	No
8.0	No
10.0	No
8.0	No
8.0	No
9.0	No
8.0	No
9.0	No
8.0	No
9.0	No
8.0	Yes
8.0	Yes
10.0	Yes
9.0	No
9.0	No
11.0	Yes
11.0	No
9.0	No
9.0	Yes
9.0	No
10.0	No
10.0	Yes
10.0	Yes
9.0	No
10.0	No
10.0	Yes
9.0	No
11.0	Yes
13.0	No
9.0	Yes
10.0	No
11.0	No
12.0	No
11.0	Yes
11.0	No
11.0	No
9.0	No
10.0	Yes
10.0	No
9.0	No
10.0	Yes
11.0	Yes
10.0	Yes
11.0	No
10.0	No
10.0	Yes
10.0	No
9.0	Yes
10.0	No
7.0	Yes
11.0	No
11.0	Yes
10.0	Yes
8.0	No
11.0	Yes
11.0	Yes
11.0	Yes
12.0	No
11.0	No
12.0	Yes
15.0	Yes
12.0	No
11.0	No
12.0	No
13.0	No
10.0	No
10.0	No
9.0	No
12.0	No
9.0	Yes
9.0	Yes
10.0	Yes
11.0	Yes
12.0	No
10.0	Yes
13.0	Yes
11.0	Yes
13.0	Yes
12.0	Yes
12.0	Yes
6.0	No
8.0	No
6.0	No
8.0	Yes
8.0	Yes
7.0	No
8.0	No
9.0	No
8.0	No
10.0	No
8.0	No
13.0	Yes
10.0	Yes
9.0	Yes
9.0	Yes
9.0	No
8.0	Yes
8.0	No
11.0	No
9.0	Yes
9.0	Yes
10.0	No
9.0	No
9.0	No
11.0	No
9.0	Yes
11.0	Yes
10.0	Yes
10.0	No
11.0	No
13.0	Yes
11.0	Yes
14.0	Yes
12.0	No
4.0	No
6.0	No
8.0	No
7.0	No
8.0	No
6.0	No
6.0	No
7.0	No
8.0	No
9.0	No
8.0	No
8.0	No
9.0	No
8.0	No
8.0	No
9.0	No
7.0	No
8.0	No
8.0	No
7.0	No
11.0	No
11.0	No
8.0	No
9.0	No
8.0	Yes
10.0	Yes
10.0	No
11.0	No
9.0	Yes
9.0	No
10.0	Yes
10.0	No
9.0	Yes
8.0	No
10.0	Yes
9.0	No
10.0	No
11.0	Yes
9.0	Yes
8.0	No
9.0	Yes
12.0	Yes
9.0	Yes
9.0	No
11.0	No
12.0	Yes
11.0	No
11.0	Yes
13.0	Yes
11.0	No
11.0	No
11.0	Yes
10.0	Yes
11.0	No
9.0	No
9.0	Yes
11.0	No
9.0	No
11.0	Yes
12.0	Yes
11.0	Yes
9.0	No
11.0	No
10.0	No
10.0	Yes
11.0	Yes
11.0	No
11.0	No
10.0	Yes
11.0	No
11.0	No
13.0	Yes
14.0	No
11.0	No
4.0	No
5.0	No
6.0	No
7.0	No
7.0	No
8.0	No
8.0	Yes
10.0	Yes
10.0	Yes
11.0	Yes
11.0	No
9.0	Yes
9.0	Yes
9.0	No
11.0	Yes
8.0	No
9.0	Yes
10.0	Yes
11.0	Yes
8.0	Yes
11.0	Yes
10.0	Yes
5.0	No
5.0	No
5.0	No
7.0	No
7.0	No
8.0	No
8.0	No
7.0	No
7.0	No
7.0	No
6.0	No
10.0	Yes
8.0	No
8.0	Yes
10.0	No
9.0	No
7.0	No
8.0	Yes
9.0	Yes
10.0	No
10.0	Yes
11.0	Yes
9.0	No
10.0	No
10.0	No
11.0	Yes
11.0	Yes
10.0	No
9.0	No
8.0	Yes
9.0	Yes
11.0	Yes
10.0	Yes
10.0	Yes
11.0	No
20.0	Yes
5.0	No
5.0	No
4.0	No
9.0	No
13.0	Yes
14.0	Yes
13.0	No
12.0	No
24.0	No
10.0	No
21.0	No
11.0	No
9.0	Yes
7.0	Yes
9.0	Yes
10.0	Yes
9.0	No
9.0	Yes
6.0	No
7.0	No
6.0	No
15.0	Yes
9.0	No
13.0	No
9.0	No
18.0	No
15.0	Yes
15.0	Yes
10.0	Yes
14.0	No
13.0	Yes
11.0	No
6.0	Yes
9.0	Yes
11.0	No
12.0	No
15.0	No
8.0	Yes
8.0	No
7.0	No
11.0	Yes
10.0	Yes
11.0	Yes
13.0	No
11.0	No
6.0	No
8.0	No
16.0	Yes
7.0	Yes
5.0	No
13.0	Yes
14.0	No
20.0	Yes
12.0	No
18.0	No
5.0	No
7.0	No
11.0	Yes
9.0	No
10.0	No
6.0	No
17.0	No
17.0	No
15.0	No
9.0	Yes
8.0	No
15.0	No
9.0	No
14.0	No
12.0	Yes
10.0	No
14.0	No
13.0	No
14.0	No
11.0	No
16.0	Yes
10.0	Yes
14.0	No
16.0	Yes
11.0	Yes
9.0	Yes
18.0	Yes
8.0	Yes
16.0	Yes
9.0	No
10.0	No
13.0	No
9.0	No
12.0	No
11.0	Yes
12.0	Yes
13.0	Yes
12.0	No
13.0	No
14.0	Yes
8.0	No
18.0	Yes
14.0	Yes
15.0	No
15.0	Yes
14.0	Yes
15.0	Yes
14.0	No
19.0	No
13.0	No
13.0	Yes
15.0	No
11.0	Yes
6.0	Yes
9.0	No
8.0	No
12.0	Yes
6.0	No
7.0	No
5.0	No
12.0	No
9.0	Yes
7.0	Yes
18.0	Yes
13.0	No
12.0	No
14.0	No
17.0	Yes
12.0	No
14.0	Yes
11.0	No
10.0	No
11.0	Yes
12.0	No
13.0	No
17.0	Yes
11.0	Yes
13.0	No
18.0	No
12.0	Yes
12.0	Yes
15.0	No
12.0	Yes
18.0	No
24.0	Yes
11.0	Yes
13.0	No
11.0	No
11.0	Yes
13.0	No
14.0	No
12.0	Yes
15.0	No
15.0	Yes
12.0	No
9.0	Yes
11.0	No
13.0	Yes
14.0	No
14.0	Yes
14.0	No
17.0	Yes
13.0	No
16.0	Yes
16.0	No
11.0	No
15.0	No
12.0	No
16.0	No
16.0	No
10.0	No
9.0	No
5.0	Yes
9.0	No
13.0	No
12.0	No
17.0	No
11.0	Yes
11.0	No
9.0	Yes
16.0	Yes
7.0	Yes
4.0	Yes
19.0	No
16.0	No
11.0	No
15.0	No
12.0	No
12.0	No
10.0	Yes
12.0	No
16.0	No
13.0	No
10.0	No
10.0	No
11.0	No
13.0	No
12.0	No
8.0	No
12.0	No
11.0	No
15.0	No
16.0	No
12.0	No
17.0	No
12.0	No
14.0	Yes
13.0	No
13.0	No
12.0	No
14.0	No
11.0	Yes
13.0	No
10.0	No
11.0	No
13.0	No
15.0	No
8.0	No
10.0	No
10.0	No
6.0	No
8.0	No
5.0	Yes
20.0	No
19.0	No
9.0	Yes
9.0	Yes
10.0	No
11.0	Yes
11.0	No
5.0	Yes
17.0	No
13.0	No
17.0	No
12.0	Yes
10.0	Yes
16.0	No
19.0	Yes
10.0	No
10.0	No
6.0	No
5.0	No
8.0	Yes
8.0	No
5.0	No
19.0	Yes
15.0	Yes
14.0	Yes
7.0	No
13.0	No
13.0	Yes
18.0	Yes
13.0	Yes
16.0	Yes
10.0	Yes
13.0	Yes
19.0	Yes
10.0	Yes
13.0	Yes
13.0	No
18.0	Yes
12.0	No
9.0	Yes
8.0	No
10.0	Yes
18.0	Yes
13.0	Yes
9.0	No
8.0	Yes
7.0	No
8.0	No
6.0	No
7.0	No
7.0	No
6.0	No
7.0	No
8.0	No
9.0	Yes
7.0	No
9.0	No
7.0	Yes
9.0	Yes
8.0	No
8.0	Yes
10.0	No
11.0	Yes
9.0	Yes
11.0	No
10.0	Yes
10.0	No
13.0	Yes
13.0	Yes
4.0	No
6.0	No
6.0	No
5.0	No
6.0	No
6.0	No
6.0	No
7.0	No
6.0	No
8.0	No
6.0	No
8.0	No
7.0	No
7.0	No
8.0	Yes
7.0	No
9.0	No
8.0	No
8.0	No
8.0	No
7.0	Yes
7.0	Yes
7.0	No
8.0	Yes
8.0	No
8.0	No
8.0	No
9.0	Yes
12.0	No
10.0	No
8.0	No
8.0	Yes
9.0	Yes
11.0	No
10.0	No
11.0	Yes
10.0	Yes
9.0	No
9.0	Yes
10.0	Yes
11.0	No
10.0	No
11.0	Yes
9.0	No
3.0	No
4.0	No
6.0	No
6.0	No
7.0	No
6.0	No
7.0	No
7.0	No
8.0	No
6.0	No
7.0	No
7.0	No
8.0	No
7.0	No
8.0	No
8.0	No
8.0	No
8.0	No
10.0	Yes
8.0	Yes
8.0	Yes
8.0	Yes
9.0	No
8.0	Yes
8.0	Yes
9.0	No
10.0	Yes
9.0	No
8.0	Yes
12.0	Yes
10.0	Yes
11.0	No
10.0	No
10.0	Yes
9.0	Yes
11.0	No
9.0	No
10.0	No
9.0	Yes
11.0	Yes
11.0	No
9.0	No
10.0	Yes
12.0	No
11.0	No
11.0	No
11.0	Yes
10.0	Yes
11.0	No
3.0	No
4.0	No
4.0	No
6.0	No
6.0	No
6.0	No
7.0	No
6.0	No
6.0	No
7.0	No
7.0	No
7.0	No
6.0	No
6.0	No
9.0	No
8.0	No
6.0	No
7.0	Yes
8.0	No
8.0	No
8.0	No
8.0	No
8.0	No
9.0	No
8.0	No
7.0	No
9.0	No
7.0	No
9.0	No
8.0	Yes
9.0	No
8.0	No
9.0	No
8.0	No
8.0	Yes
9.0	No
8.0	No
10.0	No
10.0	No
10.0	Yes
9.0	No
8.0	No
8.0	No
9.0	No
9.0	No
9.0	Yes
10.0	No
10.0	No
11.0	No
9.0	Yes
9.0	No
9.0	No
10.0	No
9.0	No
8.0	Yes
11.0	No
11.0	Yes
10.0	No
9.0	No
10.0	No
9.0	Yes
10.0	No
9.0	No
11.0	Yes
9.0	Yes
11.0	No
10.0	Yes
12.0	Yes
11.0	Yes
11.0	No
9.0	No
11.0	Yes
8.0	No
12.0	No
11.0	Yes
10.0	Yes
11.0	Yes
12.0	Yes
12.0	Yes
4.0	No
8.0	No
5.0	No
7.0	No
8.0	No
8.0	No
7.0	No
8.0	Yes
7.0	Yes
9.0	No
9.0	Yes
10.0	No
10.0	Yes
11.0	No
11.0	Yes
9.0	Yes
14.0	Yes
9.0	Yes
11.0	Yes
12.0	No
9.0	No
8.0	No
10.0	Yes
10.0	Yes
9.0	No
10.0	No
10.0	Yes
10.0	Yes
13.0	No
6.0	No
7.0	No
5.0	No
5.0	No
5.0	No
6.0	No
6.0	No
8.0	No
6.0	No
8.0	No
8.0	No
7.0	No
9.0	No
8.0	No
8.0	No
7.0	No
9.0	No
9.0	No
8.0	No
9.0	No
9.0	No
8.0	No
10.0	No
10.0	No
9.0	No
9.0	No
9.0	Yes
11.0	No
7.0	Yes
10.0	No
9.0	Yes
10.0	No
10.0	No
8.0	No
9.0	No
9.0	No
9.0	No
8.0	No
11.0	No
10.0	No
9.0	No
8.0	Yes
10.0	No
10.0	No
10.0	No
12.0	No
10.0	Yes
10.0	No
11.0	Yes
10.0	No
10.0	Yes
9.0	No
11.0	Yes
11.0	Yes
10.0	Yes
11.0	No
10.0	Yes
14.0	No
11.0	No
11.0	No
9.0	No
13.0	Yes
12.0	Yes
11.0	Yes
11.0	Yes
10.0	Yes
10.0	No
13.0	Yes
12.0	Yes
10.0	No
11.0	Yes
10.0	No
10.0	Yes
11.0	No
11.0	No
11.0	Yes
9.0	No
11.0	No
11.0	Yes
9.0	No
10.0	Yes
11.0	Yes
11.0	Yes
10.0	No
11.0	Yes
11.0	No
11.0	Yes
5.0	No
7.0	No
7.0	No
7.0	No
7.0	No
9.0	Yes
9.0	No
9.0	No
7.0	No
9.0	Yes
8.0	No
7.0	Yes
10.0	No
9.0	Yes
9.0	Yes
9.0	No
10.0	No
10.0	Yes
10.0	Yes
9.0	Yes
10.0	Yes
9.0	Yes
9.0	No
9.0	No
11.0	No
12.0	No
13.0	No
12.0	No
5.0	No
5.0	No
7.0	No
6.0	No
6.0	No
7.0	No
8.0	No
7.0	No
8.0	No
8.0	No
8.0	No
8.0	No
9.0	No
10.0	No
9.0	No
9.0	Yes
9.0	Yes
10.0	Yes
8.0	No
11.0	No
10.0	No
9.0	No
10.0	No
10.0	Yes
9.0	Yes
9.0	No
9.0	No
10.0	No
9.0	Yes
9.0	No
9.0	No
8.0	Yes
13.0	No
9.0	Yes
9.0	No
10.0	Yes
10.0	Yes
10.0	Yes
11.0	No
12.0	No
11.0	Yes
9.0	Yes
10.0	Yes
12.0	Yes
8.0	No
10.0	No
10.0	No
11.0	No
13.0	No
14.0	No
10.0	Yes
12.0	Yes
11.0	No
13.0	Yes
10.0	No
11.0	No
12.0	Yes
3.0	No
6.0	No
7.0	No
7.0	No
9.0	Yes
8.0	No
8.0	No
10.0	Yes
8.0	No
8.0	No
9.0	Yes
12.0	No
8.0	No
6.0	No
8.0	No
8.0	Yes
8.0	Yes
9.0	Yes
8.0	Yes
10.0	Yes
10.0	Yes
9.0	No
9.0	No
7.0	Yes
11.0	Yes
10.0	No
11.0	Yes
11.0	Yes
12.0	No
14.0	Yes
10.0	No
14.0	No
11.0	Yes
6.0	Yes
7.0	No
9.0	Yes
4.0	No
8.0	No
8.0	Yes
9.0	No
11.0	Yes
9.0	No
16.0	Yes
14.0	Yes
11.0	Yes
6.0	No
9.0	Yes
14.0	No
6.0	Yes
7.0	No
10.0	Yes
12.0	Yes
9.0	No
11.0	No
8.0	Yes
9.0	No
16.0	Yes
12.0	No
9.0	No
14.0	No
14.0	No
10.0	Yes
18.0	No
5.0	No
19.0	Yes
10.0	No
15.0	No
8.0	No
9.0	No
15.0	Yes
12.0	No
9.0	No
5.0	No
12.0	No
9.0	Yes
16.0	Yes
15.0	No
10.0	Yes
15.0	No
7.0	No
10.0	No
15.0	No
10.0	Yes
9.0	No
7.0	No
7.0	No
9.0	No
12.0	No
12.0	Yes
16.0	Yes
12.0	No
13.0	No
9.0	No
12.0	Yes
13.0	No
14.0	Yes
17.0	No
10.0	No
4.0	No
15.0	Yes
12.0	No
4.0	No
16.0	Yes
16.0	Yes
6.0	Yes
4.0	Yes
13.0	No
9.0	No
10.0	No
13.0	Yes
10.0	No
15.0	No
11.0	No
19.0	No
11.0	No
10.0	No
13.0	No
18.0	No
11.0	No
8.0	Yes
10.0	Yes
10.0	No
12.0	Yes
20.0	No
8.0	No
14.0	No
12.0	No
10.0	No
16.0	No
21.0	No
17.0	No
11.0	No
6.0	No
5.0	No
11.0	Yes
13.0	No
13.0	Yes
10.0	No
14.0	Yes
11.0	Yes
15.0	No
11.0	No
14.0	Yes
20.0	Yes
6.0	No
13.0	Yes
16.0	Yes
12.0	No
13.0	No
13.0	No
13.0	No
5.0	No
8.0	No
7.0	Yes
9.0	No
12.0	No
10.0	No
9.0	No
11.0	No
11.0	Yes
10.0	Yes
10.0	No
4.0	No
5.0	No
6.0	No
6.0	No
6.0	No
6.0	No
6.0	No
6.0	No
6.0	No
8.0	Yes
7.0	No
8.0	No
6.0	No
7.0	No
7.0	No
8.0	Yes
6.0	Yes
7.0	No
8.0	Yes
6.0	No
6.0	No
10.0	Yes
11.0	Yes
10.0	No
11.0	No
8.0	Yes
11.0	No
10.0	Yes
9.0	Yes
10.0	Yes
12.0	Yes
4.0	No
5.0	No
6.0	No
6.0	No
6.0	No
6.0	No
7.0	No
6.0	No
8.0	No
8.0	No
10.0	Yes
9.0	No
9.0	Yes
11.0	No
12.0	Yes
8.0	Yes
9.0	Yes
9.0	Yes
8.0	No
8.0	Yes
10.0	Yes
10.0	Yes
9.0	No
11.0	Yes
8.0	Yes
10.0	Yes
11.0	No
10.0	No
11.0	Yes
6.0	No
6.0	No
7.0	No
7.0	No
6.0	No
8.0	No
7.0	No
7.0	No
8.0	No
8.0	No
10.0	No
7.0	Yes
11.0	No
8.0	No
10.0	No
11.0	No
11.0	No
12.0	No
10.0	No
10.0	No
8.0	No
10.0	No
9.0	Yes
11.0	Yes
11.0	Yes
13.0	No
9.0	Yes
9.0	Yes
10.0	Yes
13.0	Yes
10.0	No
10.0	No
9.0	No
11.0	Yes
11.0	No
10.0	No
8.0	Yes
8.0	No
10.0	Yes
9.0	Yes
11.0	No
9.0	No
6.0	No
7.0	No
6.0	No
7.0	No
8.0	No
7.0	No
8.0	No
8.0	No
9.0	No
8.0	No
8.0	Yes
8.0	No
9.0	No
10.0	Yes
8.0	Yes
8.0	No
11.0	Yes
9.0	No
10.0	Yes
10.0	No
11.0	Yes
8.0	Yes
10.0	No
9.0	Yes
9.0	Yes
11.0	Yes
12.0	Yes
11.0	No
11.0	Yes
13.0	Yes
11.0	No
12.0	No
9.0	Yes
9.0	No
9.0	Yes
9.0	No
11.0	No
11.0	Yes
10.0	Yes
11.0	No
9.0	No
11.0	No
7.0	No
7.0	No
8.0	Yes
9.0	Yes
8.0	No
9.0	No
8.0	No
9.0	No
10.0	No
9.0	Yes
9.0	No
9.0	Yes
4.0	No
7.0	Yes
9.0	No
8.0	No
8.0	No
8.0	No
9.0	No
11.0	Yes
10.0	No
8.0	Yes
10.0	No
10.0	Yes
11.0	No
10.0	No
11.0	Yes
9.0	No
11.0	No
9.0	No
11.0	Yes
11.0	Yes
10.0	No
10.0	No
11.0	No
13.0	Yes
13.0	No
11.0	Yes
11.0	Yes
10.0	Yes
11.0	Yes
11.0	Yes
6.0	No
7.0	No
6.0	No
7.0	No
8.0	No
6.0	No
6.0	No
8.0	Yes
8.0	Yes
